Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-10,2022-05-11,21.527777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-11,2022-05-12,18.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-12,2022-05-13,14.722222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-13,2022-05-14,13.75,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-14,2022-05-15,15.0,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-15,2022-05-16,14.166666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-16,2022-05-17,14.861111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-17,2022-05-18,13.333333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-18,2022-05-19,13.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-19,2022-05-20,17.222222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-20,2022-05-21,18.75,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-21,2022-05-22,8.75,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-22,2022-05-23,11.25,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-23,2022-05-24,12.361111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-24,2022-05-25,5.694444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-25,2022-05-26,7.5,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-26,2022-05-27,6.944444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-27,2022-05-28,7.083333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-28,2022-05-29,10.555555,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-29,2022-05-30,8.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-30,2022-05-31,10.0,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-05-31,2022-06-01,14.027777,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-01,2022-06-02,12.010878,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-02,2022-06-03,13.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-03,2022-06-04,18.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-04,2022-06-05,20.0,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-05,2022-06-06,9.861111,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-06,2022-06-07,8.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-07,2022-06-08,6.944444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-08,2022-06-09,8.333333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-09,2022-06-10,7.5,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-10,2022-06-11,12.916666,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-11,2022-06-12,15.833333,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-12,2022-06-13,15.694444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-13,2022-06-14,13.194444,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-14,2022-06-15,15.0,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-15,2022-06-16,17.5,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-16,2022-06-17,18.472222,ug.m-3,day,1,1,2023-06-27 14:13:59
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-06-17,2022-06-18,11.388888,ug.m-3,day,1,1,2023-06-27 14:13:59
